,Questions,Answers
1496,በኢትዮጵያ አብዮት ሽብር የአየር በረራ አስተዳደር ሠራተኞች አድማ የተጀመረው መቼ ነው?,፲፱፻፷፮ ዓ/ም
1497,ሊትዌኒያ እራሷን ከሶቭየት ኅብረት አስተዳደር ውጭ ነጻ መሆኗን ያወጀች መቼ ነበር?,፲፱፻፹፪ ዓ/ም
1498,ፔኒሲሊንን ያገኘው የብሪታኒያ ተወላጁ አሌክሳንደር ፍሌሚንግ ያረፈው በምን ምክንያት ነው?,በልብ ምታት
1499,ፔኒሲሊንን ያገኘው የብሪታኒያ ተወላጁ አሌክሳንደር ፍሌሚንግ ከዚህ ዓለም በሞት የተለየው መቼ ነው?,፲፱፻፵፯ ዓ/ም
1500,ዕዝራ የጻፋቸው መፅሐፍት እነማን ናቸው?,መጽሐፈ ዕዝራንና መጽሐፈ ነህምያ
1501,በብሉይ ኪዳን ዘመን በባቢሎን ምርኮ ጊዜ የአይሁድ ካህን የነበረው ማን ይባላል?,ዕዝራ ወይም ሱቱኤል
1502,የሠራያው ልጅ በፋርስ ንጉስ አርጤክስስ ከ5000 ከወገኖቹ ጋራ ወደ ኢየሩሳሌም ለመመለስ ፈቃድ የተቀበለው መቼ ነው?,7ኛው አመት (464 ክ.በ.
1503,የአንበሳ  እንስሶች መደብ ውስጥ ከየትኛው መደብ ነው የሚመደበው?,ጡት አጥቢ
1504,አራት ግዙፍ ድመቶች በመባል ከሚታወቁት ውስጥ አንዱ የሆነው አራዊት ማን ነው?,አንበሳ
1505,አንበሳ አራዊት ከሚባሉት አውሬ በቁመቱና ክብደቱ ስንተኛ ደረጃ ነው?,ሁለተኛ ደረጃ
1506,አንበሳ በታሪክ እስያና በደቡብ አውሮፓ እንደነበርና እንደጠፋ የሚታወቅ ነው አሁን የሚገኘው በየት ነው?,በአፍሪካ (ከነኢትዮጵያ) እና በህንድ
1507,አንበሳ በጥጋቡ ጊዜ በዝግታ የሚያንኮራፉ ቢሆንም ምን ያህል ርቀት ድረስ ማንኮራፋቱ ይሰማል?,እስከ ስምንት ኪሎ ሜትር ድረስ
1508,አንበሶች በትልልቅ መንጋ ተከፋፍለው የሚኖሩ ሲሆን እያንዳንዱ መንጋ ስንት አባላትን ይይዛል?,ከ30 በላይ ሊደርስ ይችላል
1509,አንበሶች በማኅበር ከሚኖሩት ሲሆን ወገናቸው  ከእንስሳት መካከል የትኛው ወገን ነው?,የድመት ወገን
1510,በአንበሶች ዘንድ መንጋውን እየተዘዋወሩ የሚጠብቁና የመንጋውን የክልል ወሰን የሚያወጡ የትኞቹ አንበሶች ናቸው?,ለአካለ መጠን የደረሱ ወንድ አንበሶች
1511,በአንበሶች ዘንድ መንጋውን እየተዘዋወሩ የሚጠብቁና የመንጋውን የክልል ወሰን የሚያወጡ አንበሶች ክብደታቸው ስንት ነው?,ከ225 ኪሎ ግራም በላይ
1512,በአናብስት ቤተሰብ ላይ በቤት ውስጥ አመራር የሚሰጡት እናማን ናቸው?,ሴቶቹ ናቸው
1513,ወደ ጥላ ሥፍራ መሄድን ወይም አደን መጀመርን በመሳሰሉት ሁኔታዎች ብዙውን ጊዜ መንጋውን ለአንድ ዓይነት እንቅስቃሴ የሚያነሳሱት የተኖቹ አናብስት ናቸው?,ሴቶቹ አንበሶች
1514,ሴት አንበሶች በአብዛኛው በምን ያህል ጊዜ  ይወልዳሉ?,በየሁለት ዓመቱ
1515,የአንባሳ ግልገሎቹ ዕድገት ፈጣን ሲሆን በምን ያህል ጊዜ ውስጥ መሮጥና መቦረቅ ይጀምራሉ?,በሁለት ወር
1516,አንበሳ አብዛኛውን ጊዜውን የሚያሳልፈው ምን በማድረግ ነው?,በእንቅልፍ
1517,አንበሶች በዕረፍት፣ በመተኛት ወይም በመቀመጥ በቀን ውስጥ ያለውን ምን ያህል ሰዓት ያሳልፋሉ?,ወደ 20 የሚጠጋውን ሰዓት
1518,ሩሲያዊ-አሜሪካዊ የሆነው ጉግልን የፈጠረው ግለሰብ ማን ይባላል? ,ሰርጌይ ሚካይሎቪች ብሪን
1519,ሰርጌይ ሚካይሎቪች ብሪን ወላጅ እናት ናሳን ያገለገለችው በምን ሙያ ነው?,ማቲማቲሻንና ሲቭል ኢንጅነር
1520,ሰርጌይ ሚካይሎቪች ብሪን መቼ ተወለደ?,"ኦገስት 21, 1973 እ.ኤ.አ."
1521,ሰርጌይ ሚካይሎቪች ብሪን የትውልድ ስፍራው ማን በመባል ይታወቃል?,በሞስኮ፣ ሩሲያ ለየይሁዳ ቤተሰብ ተወለደ
1522,ሰርጌይ ሚካይሎቪች ብሪን  ሁለተኛ ደረጃ ትምህርቱን የተማረው የት ነው?,በኤላኖር ሩዝቬልት ትምህርት ቤት
1523,ሰርጌይ ሚካይሎቪች ብሪን የባችለር ሳይንስ ዲግሪውን መቼ አገኘ?,በሜይ 1993 እ.ኤ.አ.
1524,ሰርጌይ ሚካይሎቪች ብሪን የማስተርስ ዲግሪውን ያገኘው ከየትኛው ዩኒቨርሲቲ ነው?,ስታንፎርድ ዩኒቨርስቲ
1525,ሰርጌይ ሚካይሎቪች ብሪን የባችለር ሳይንስ ዲግሪውን ያገኘው ከየትኛው ዩኒቨርሲቲ ነው?,ሜሪላንድ ዩኒቨርስቲ
1526,ሰርጌይ ሚካይሎቪች ብሪን የማስተርስ ዲግሪውን መቼ አገኘ?,በኦገስት 1995 እ.ኤ.አ. 
1527,የጉግል ቴክኖሎጂ ፕሬዝዳንት ማን በመባል ይታወቃል?,ሰርጌይ ሚካይሎቪች ብሪን
1528,ሰርጌይ ሚካይሎቪች ብሪን ወላጅ አባቱ ሚካኤል ሲባልየ እናቱ ስሟ ማን ይባላል?,ዩጂኒያ ብሪን
1529,ሰርጌይ ሚካይሎቪች ብሪን አባት የሆነው ሚካኤል ስራው ምንድነው?,በሜሪላንድ ዩኒቨርስቲ ማቲማቲሻን
1530,ሰርጌይ ሚካይሎቪች ብሪን ጉግልን ከመጀመሩ በፊት ያጠናቸው የትምህርት ዘርፎች ምን ምን ነበሩ?,ኮምፒዩተር ሳይንስና ሒሳብ
1531,ሰርጌይ ሚካይሎቪች ብሪን ያለው የሀብት መጠን በዓለም እና በአሜሪካ በስንተኛ ደረጃ እንዲቀመጥ አስችሎታል?,ከዓለም 26ኛ እና ከአሜሪካ 12ኛው ሀብታም ሰው
1532,ሰርጌይ ሚካይሎቪች ብሪን የዘጠነኛ ዓመት የልደት በዓሉን ሲያከብር ከአባቱ የተበረከተለት ስጦታ ምንድን ነው?,ኮምፒዩተር አንድ ኮሞዶር 64
1533,ሰርጌይ ሚካይሎቪች ብሪን  የመጀመሪያ ደረጃ ትምህርቱን የተከታተለበት ትምህርት ቤት ምን በመባል ይታወቃል?,በፔንት ብራንች ሞንቴሶሪ ትምህርት ቤት
1534,የባህል ጥናት፣ ሥነ ኅብረተሠብ ወይን ሥነ ማኅበረሰብ ሌላ ስሙ ማን ይባላል?,ሶሲዮሎጂ
1535,ሶሲዮሎጂ የሚለው ቃል መቼ ተፈጠረ?,በ1772 ዓ.ም.
1536,የሰው ልጆች በቡድንና በተናጥል ያላቸውን ባሕል፣ ጠባይና አደረጃጀት የሚያጠና የሳይንስ ክፍል ምን ይባላል?,ሶሲዮሎጂ 
1537,ሶሲዮሎጂ የሚለው ቃል ከሮማስጥ እና ከግሪክ በተውጣጡ ቃላት በማጋጠም የፈጠረው ፈረንሳዊው ሰው ማን ይባላል?,ኤማኑወል-ዦሰፍ ሲዬ
1538,በፈረንሳይ ሥር በቅኝ ግዛትነት ትተዳደር የነበረችው ጋቦን ነፃ የወጣችው መቼ ነው?,፲፱፻፶፪ ዓ/ም
1539,ጋቦን ነፃነቷን ከተቀዳጀች በኋላ የአገሪቱ የመጀመሪያው ፕሬዚደንት የሆኑት ማን ናቸው?,ሊዮን ምባ
1540,በኢትዮጵያ አብዮታዊ ሽግግር የንጉሠ ነገሥቱ መንግሥት የክብር ዘበኛ ሠራዊት አዛዥ የነበሩት ማዮር ጄነራል ታፈሰ ለማ በደርግ መቼ ታሠሩ?,፲፱፻፷፮ ዓ/ም
1541,የቀዳማዊ ኃይለ ሥላሴ ልጅ ልዕልት ፀሐይ የሞቱት በስንት ዓመተ ምህረት ነው?,፲፱፻፴፬  ዓ/ም
1542,፲፱፻፶፪ ዓ/ም በኢትዮጵያ እና በኬንያ መኻል ያለውን ድንበር ለማስማማት የተዘጋጀውን የውል ረቂቅ ለኢትዮጵያ ያመጡት አምባሳደር ማን ይባላሉ?,የብሪታኒያ ዋና መላክተኛ አምባሳደር ዳግላስ ራይት
1543,የቀዳማዊ ኃይለ ሥላሴ ልጅ ልዕልት ፀሐይ በተወለዱ በስንት ዓመታቸው አረፉ?,በ፳፫ ዓመታቸው
1544,በብሪታኒያ ንጉዛት እና በአሜሪካ ኅብረት መኻል በአትላንቲክ ውቅያኖስ ውስጥ አዲስ የቴሌግራፍ መስመር  መቼ ተዘረጋ?,፲፰፻፶ ዓ/ም
1545,ብሪታኒያ ንጉዛት እና በአሜሪካ ኅብረት መኻል በአትላንቲክ ውቅያኖስ ውስጥ የተዘረጋውን አዲሱን የቴሌግራፍ መስመር  የሰላምታ መልዕክት በመለዋወጥ የመረቁት እነማን ናቸው?,ንግሥት ቪክቶሪያ እና የአሜሪካው ፕሬዚደንት ጄምስ ቡካነን
1546,የኢትዮጵያ ንጉሠ ነገሥት መንግሥት የአገሪቱን የመጀመሪያ አየር-ዠበብ (አውሮፕላን)  በስንት ዓመተ ምሀርት ተረከቡ? ,፲፱፻፳፩ ዓ/ም
1547,ብሪታኒያ ዋና መላክተኛ አምባሳደር ዳግላስ ራይት በ ፲፱፻፶፪ ዓ/ም በኢትዮጵያ እና በኬንያ መኻል ያለውን ድንበር ለማስማማት የውል ረቂቅ የተረከቡት ማን ይባላሉ?,አክሊሉ ሀብተ-ወልድ
1548,በኢትዮጵያ አብዮታዊ ሽግግር የንጉሠ ነገሥቱ መንግሥት የክብር ዘበኛ ሠራዊት አዛዥ የነበሩት ማን ይባላሉ?,ማዮር ጄነራል ታፈሰ ለማ
1549,የኢትዮጵያ አየር መንገድ ከቦይንግ ኩባንያ ከገዛቸው አሥር ቦይንግ 787 ድሪምላይነር አየር-ዠበቦች የሰጠው የመጀመሪያው ሰሌዳ ቁጥር ስንት ነው?,በሰሌዳ ቁጥር ET-AOQ
1550,ግሥላ አጥቢ አውሬ ሲሆን የሚገኘው የት ነው?,በእስያ፣ በአፍሪካ (ከነኢትዮጵያ) እና በመካከለኛው ምሥራቅ
1551,የአንድ ጎልማሳ ግሥላ ክብደ ምን ያህል ድረስ ሊመዝን ይችላል?,ከ35 እስከ 80 ኪ.ግ
1552,ግስላ ከመሬት እስከ ሆዱ ቁመቱ ስንት ሴ. ሜ ይሆናል?,ከ50 እስከ 70 ሴ.ሜ
1553,የግስላ የጭራው ርዝማኔ ስንት ሴ.ሜ ይሆናል?,100 ሴ.ሜ
1554,ግስላ በዱር ሲኖር ለምን ያህል ጊዜ ይቆያሉ?,እስከ 10 አመት
1555,ግስላ በሰው ተይዘው በእንክብካቤ ሲኖሩ ለምን ያህ፤ ጊዜ ይኖራሉ?,20 አመት እድሜ 
1556,ቀጭኔ ሹል የሆኑ እሾሆች የታጠሩ ቅጠሎችን ለመቀንጠብ የምትጠቀምበት አካሏ የቱን ነው?,ምላሷ
1557,ቀጭኔዎች በቀን ምን ያህል ኪሎ ግራም ዕፅዋት መመገብ ይችላሉ?,እስከ 34 ኪሎ ግራም
1558,ቀጭኔዎች የተለያዩ ዕፅዋትን የሚበሉ ሲሆን ከሁሉም በይበልጥ የሚመርጡት በአፍሪካ ሜዳዎች የሚገኙትን ምግባቸው ምን ይባላል?,እሾሃማ ግራሮች
1559,አንድ ወንድ ቀጭኔ ምግብ ለመፈለግ ምላሱን ምን ያህል መዘርጋት ይችላሉ?,42 ሳንቲ ሜትር
1560,ለቀጭኔ ወደ ላይ በመንጠራራት በጣም ቀላል ነገር ሲሆን ከባዱ ነገር ምንድነው?,ተጎንብሶ ውኃ መጠጣት
1561,የቀጭኔ ዕድሜ እየገፋ በሄደ መጠን ቀለሟ ምን እየሆነ ይሄዳል?,እየጠቆረ 
1562,ቀጭኔዎች በመንጋ ተደራጅተው አንድ ላይ የሚኖሩ ማኅበራዊ ፍጥረታት ሲሆኑ በአነድ መንጋ ምን ያህል ይኖራሉ?,ከ2 እስከ 50
1563,አንዲት ነፍሰ ጡር ቀጭኔ የእርግዝና ጊዜ ምን ያህል ነው?,ከ420 እስከ 468 ለሚደርሱ እርግዝና ቀናት
1564,ቀጭኔ የእርግዝና ጊዜዋን አጠናቃ ልጅ በምትወልድበት ጊዜ የልጇ ቁመት ምን ያህል ነው?,ሁለት ሜትር
1565,የቀጭኔ ግልገል በምትወለድበት ጊዜ የምታስቀድመው የሰውነት ክፍል የቱን ነው?,ራስዋን 
1566,ቀጭኔ ከተወለደች በኋላ እየተውተረተረች ትነሳና የእናቷን ጡት ለመጥባት ምን ያህል ጊዜ ይፈጅባታል?,በ15 ደቂቃ
1567,ቀጭኔ ከተወለደች በኋላ አንድ ሜትር የሚያክል ቁመት ለመጨመር ምን ያህል ጊዜ ያስፈልጋታል?,በስድስት ወር ጊዜ
1568,ቀጭኔ ግዙፍ አካል፣ ከፍተኛ ፍጥነት፣ ቅልጥፍናና የማየት ችሎታ ስላላት በብቸኛነት የሚያጠቃት ማን ነው?,አንበሳ
1569,ቀጭኔ በልቧ እና አንጎላ  መካከል ያለው ምን ያህል ርቀት ነው?,ሦስት ሜትር ተኩል
1570,የቀጭኔ ልብ ከሰው የደም ግፊት በምን ያዕል የሚበልጥ ግፊት ያመነጫል?,በሦስት እጥፍ
1571,የቀጭኔ ልብ በደቂቃ ምን ያህል ይመታል?,እስከ 170 ጊዜ
1572,በደቂቃ እስከ 170 ጊዜ የሚመታው የቀጭኔ ልብ ምን ያህል ውፍረት አለው?,7 ሳንቲ ሜትር
1573,ወደ ቀጭኔ አንጎል የሚሄደውን ደም የሚሸከመው የደም ቧንቧ ምን ይባላል?,ካሮቲድ 
1574,ቀጭኔ ከአንጎል ወደ ልብ የሚመለሰውን ደም የሚሸከመው የደም ቧንቧ ምን ይባላል?,ጀጉላር
1575,በከፍተኛ ኃይል ተገፍትሮ የመጣው ደም የደሙ ግፊት ተስተካክሎ በአንጎል ላይ ጉዳት የማያስከትል ሆኖ በርካታ ወደሆኑ ትናንሽ የደም ሥሮች እንዲገባ የሚሆነው ምን ላይ ነው?,ሬቴ ሚራቢሌ
1576,በኢትዮጵያ ፕሬስ ድርጅት ሥር የሚተዳደር በኢትዮጵያ በየዕለቱ የሚታተም ብሔራዊ ጋዜጣ ምን ይባላል?,አዲስ ዘመን ጋዜጣ
1577,አዲስ ዘመን ጋዜጣ በይ ስራውን የጀመረው መቼ ነው?,ቅዳሜ፣ ግንቦት ፴ ቀን ፲፱፻፴፫ ዓ/ም
1578,አዲ ዘመን ጋዜጣ ስራውን በይፋ ያስጀመሩት የኢትዮጵያ ንጉሰ ነገስት ማን ይባላሉ?,ንጉሠ ነገሥቱ ቀዳማዊ ኃይለ ሥላሴ
1579,የአዲስ ዘመን ጋዜጣ ስያሜውን ያገኘው ንጉሰ ነገስቱ የተናገሩት ንግግር ምን የሚል ነበር?,ይህ ቀን ለአዲሲቱ ኢትዮጵያ የአዲስ ታሪክ ዘመን መክፈቻ ነው
1580,አዲስ ዘመን ጋዜጣ ለመጀመሪያ ጊዜ ለህትመት ሲበቃ የነበረው የገፅ ብዛት ስንት ነበር?,ባለሁለት ገፅ
1581,አዲስ ዘመን ከተጀመረበት ጊዜ እስከ ታኅሣሥ ወር ፲፱፻፶፩ ዓ/ም ድረስየሚታተመው መቼ መቼ ነበር?,በየሳምንቱ
1582,የአዲስ ዘመን ጋዜ በሳምንት አንድ ቀን ከመታተም ወደ ስድስት ቀን እንዲያድግ ያደረጉት እነማን ናቸው?,የተባበሩት መንግሥታት ድርጅት
1583,የአዲስ ዘመን ጋዜ በሳምንት አንድ ቀን ከመታተም ወደ ስድስት ቀን እንዲያድግ የተደረገው በስንት ዓመተ ምህረት ነው?,በ፲፱፻፶ ዓ/ም
1584,አዲስ ዘመን ጋዜጣ በየቀኑ ከሰኞ እስከ እሑድ በሳምንት ሰባት ቀናት መታተም የጀመረው መቼ ነው?,ከመስከረም ፩ ቀን ፲፱፻፺፫ ዓ/ም
1585,አዲስ ዘመን የተለያዩ ቅርፆች የነበሩት ሲሆን ጋዜጣው መካከለኛ ጋዜጣነት /በርሊነር/  ቅርፅ የያዘው መቼ ነው?,ከታኅሣሥ ፫ ቀን ፳፻፬ ዓ/ም
1586,የኡዝቤኪስታን ርዕሰ ከተማ ማን ትባላለች?,ታሽኬንት
1587,በምሥራቅ አፍሪቃ የሚገኙት ታንጋኒካ እና የዛንዚባር ደሴት ተዋሕደው አንድ አገር የመሠረቱት መቼ ነው?,፲፱፻፶፮ ዓ/ም
1588,ታንጋኒካ እና የዛንዚባር ደሴት ተዋሕደው ሲዋሃዱ የተፈጠረቸው ሀገር  መጠሪያ ስሟን  ማን ብለው ሰየሙ?,ታንዛኒያ
1589,በሶቪዬት ሕብረት ውስጥ የቸርኖቢል የኑክሊዬር መብራት ኃይል ማምረቻ አደጋ የተከሰተው በስንት ዓመተ ምህረት ነው?,፲፱፻፸፰ ዓ/ም
1590,የሳዑዲ አረቢያ ልዑካን ቡድን በሼክ ሞሀመድ ማህሙድ ኤል ሳዋ እየተመራ  ለአጭር ጉብኝት በስንት ዓመተ ምህረት አዲስ አበባ ገባ?,፲፱፻፷፭ ዓ/ም
1591,የቀድሞ ሚኒስትሮችና ባለ ሥልጣናት ፣ የፖሊስ አለቆች  ከደርግ በተላለፈ ትህዛዝ መቼ ታሠሩ? ,፲፱፻፷፮ ዓ/ም
1592,የኢትዮጵያ ንጉሰ ነገስት አፄ ናኦድ በስንት ዓመተ ምህረት አረፉ?,፲፭፻ ዓ/ም
1593,በኩባ በእስፓኝ እና በአሜሪካ መካከል የነበርው የማስተዳደር ፍልሚያ የተቋጨው በስንት ዓመተ ምህረት ነው? ,፲፰፻፺ ዓ/ም
1594,ዐፄ ኖኦድን ተክተው የነገሱት ልጃቸው ስማቸው ማን ይባላል?,ዓፄ ልብነ ድንግል ወናግሰገድ
1595,በኢትዮጵያ ዘመን አቆጣጠር ነሐሴ ሰባት  336ኛው ቀን ሲሆን ለክረምት ስንተኛው ቀን ነው?,፵፪ኛው ቀን ነው
1596,የባንግላዴሽ የባንክ ባለሞያና ኤኮኖሚስት የሆኑት ፕሮፌሰር ሙሃመድ ዩኑስ መቼ ተወለዱ?,በ28 ጁን 1940 እ.ኤ.አ
1597,ማይክሮክሬዲት የተሰኘውን የአነስተኛ የብድር አገልግሎት ተቋም በችግር ለሚኖሩ ወገኖች የመስጠትን ስራ የጀመሩና ያስፋፉ ፕሮፌሰር ማን ይባላሉ? ,ፕሮፌሰር ሙሃመድ ዩኑስ
